seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
0,00GTEVWR,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
1,04XAOLYD,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
2,08AISGS6,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
3,0ARQZ17L,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
4,0DKEJW0U,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
5,0GS5KIDH,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
6,0OLRN8NP,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
7,0U42ZUFD,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
8,0V41FCZC,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
9,0YQW0NYC,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
10,0YTD2K3N,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
11,1D0F405H,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
12,1DAH2TT0,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
13,1RAG9IGT,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
14,1RW4JT0E,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
15,1TDVQOEJ,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
16,1UHMLSL4,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
17,2336AKNM,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
18,26QJ603D,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
19,27PTKNG3,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
20,29YBB8OK,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
21,2GDSU42E,GB01,GB01,0,0,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
22,2KGK4ZKE,GB01,GB01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
23,317NAQAR,GB01,GB01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
