seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
0,08OMHWT5,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
1,0GR491V7,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
2,0GTFOMYK,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
3,0NG8WNQS,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
4,0T3S8XAQ,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
5,0UVCF4FV,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
6,14JYR6KT,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
7,1DF6X93S,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
8,1DPNEJVF,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
9,1M1H50VT,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
10,1Q6HJQFT,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
11,1RKR5Y9F,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
12,1W9BZB8Z,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
13,1ZGP4X2O,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
14,22FG8XZO,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
15,2GJGVEJV,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
16,2R36AA8H,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
17,2SFX3WYM,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
18,33RL37UZ,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
19,356GCFOM,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
20,3FFHKRDO,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
21,3GXQBEW6,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
22,3QIJ7U5S,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
23,3UBOB2RG,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
24,3WKKNMXE,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
25,3XTYYB80,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
26,478CP117,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
27,5AUWU3KO,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
28,5DFGCQ7H,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
29,5EFKTCOK,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
30,5SQVXICG,AU01,AU01,0,0,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
31,5WKDS1WV,AU01,AU01,0,2,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
32,5X84VL0F,AU01,AU01,0,0,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
33,6373H90V,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
34,6FAL3T7S,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
35,6LG4W9SC,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
36,6YMPG56K,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
37,6Z0XA0OQ,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
38,77DZW4OY,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
39,78PWNQFX,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
40,7E93JWIH,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
41,7FAY4OTO,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
42,7HSKZJMD,AU01,AU01,1,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
43,7UT533YT,AU01,AU01,0,1,2013/4/15 00:00:00.000,2013/4/15 00:00:00.000
