seq,org_id,host_region,lead_region,cancelFlag,chargeable,register_date,update_date
0,0KOM4EN1,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
1,0MCACXHH,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
2,0UK70CHK,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
3,14T5DH9L,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
4,1B538HK2,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
5,1IQ34P2X,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
6,1R3CXYUV,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
7,2114JRO3,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
8,25N22PD0,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
9,2H9LIC9P,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
10,2H9VFK94,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
11,2JLG5IIQ,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
12,2JZ1PBX8,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
13,2YI3CDZ3,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
14,35E10STX,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
15,3HDO009U,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
16,3J8QZ1SB,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
17,3JGAZO9E,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
18,3X7QGELE,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
19,4D0V4580,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
20,4P2PCDL0,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
21,5XIGTIDW,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
22,6C2HI0YX,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
23,6I39E6YZ,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
24,6QRJM06B,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
25,76LV0B6Q,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
26,7BYHUBXS,US01,US01,0,2,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
27,7FT81RH8,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
28,7GYW92NC,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
29,7KLYAFF8,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
30,7R6OQFHJ,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
31,7RWQFN1D,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
32,7SGZ9555,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
33,7T908ELY,US01,JP01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
34,8C5MGDE9,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
35,8VVKL27Y,US01,US01,0,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
36,92PA902R,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
37,97D9P62L,US01,US01,1,1,2013/4/15 00.00:00.000,2013/4/15 00.00:00.000
