seq,product_id,product_name,list_price,JP,AU,SG,US,GB,DE,update_date
0,SOP-VM-0001-0001,Economy,,,,,,,,
1,SOP-VM-0001-0002,Standard,,,,,,,,
2,SOP-VM-0001-0003,Advance,,,,,,,,
3,SOP-VM-0001-0004,High-Performance,,,,,,,,
4,SOP-VM-0001-0011,W-High,,,,,,,,
5,SOP-VM-0001-0012,Quad-High,,,,,,,,
6,SOP-SD-0001-0001,System Disk Service,,,,,,,,
7,SOP-DK-0001-0001,Disk Expansion Option Service,,,,,,,,
8,SOP-DK-0002-0001,Virtual Machine Image Storage Service,,,,,,,,
9,SOP-DK-0003-0001,System Backup Service,,,,,,,,
10,SOP-DK-0003-0002,Data Backup Service,,,,,,,,
11,SOP-IP-0001-0001,Global IP Address Attachment Service,,,,,,,,
12,SOP-NW-0001-0001,Internet Communication Service,,,,,,,,
13,SOP-NW-0002-0001,Server Load-Balancing Service Normal,,,,,,,,
14,SOP-NW-0002-0011,Server Load-Balancing Service Turbo,,,,,,,,
15,SOP-OS-0001-0001,OS Environment Windows Server Enterprise Edition ,,,,,,,,
16,SOP-OS-0001-0004,OS Environment Windows Server Standard Edition ,,,,,,,,
17,SOP-MW-0001-0001,SQL Server Standard Edition,,,,,,,,
