System Name,SubTotal(JPY)
de01_IJConnector,154441
CAMS-Dev2-System-DE,266116
CAMS-Dev1-System-DE,181985
Print_Prototype,179702
CCT-Dev1-DEU,2136
Staging_PrintService_IJ,1144967
de02_PrintService_IJ,653591
Production-TM-MISC-SYSTEM-DE,27802
Production_PrintService_IJ,1104687
de01_PrintService_IJ,668961
de02_IJConnector,141019
Production-Performance,26637
TM-MISC-SYSTEM-DE,27802
tm-log-system-de,51094
Staging_IJConnector,135352
Production_IJConnector,232330
tm-turin-system-DE,31575
VM Image Storage Service,0
GWAN Connection Service 10Mbps,721720
