System Name,SubTotal(JPY)
MPGW_Production_System,874466
SSEMGR-Production-System,256703
SSECMS-Ev1-System,385447
SSE-Production-System,2476417
SSE-Test-System,1288
SSEMGR-Ev1-System,70434
SSE-Dv1-System,1170463
MPGW_Staging_System,977734
MPGW_Operation_Production_System,213597
SSE-Staging-System,2551164
SSE-Ev1-System,1039044
SSECMS-Production-System,521990
SSEMGR-Staging-System,274390
MPGW_QA1_System,448139
MPGW_Operation_Staging_System,136220
MPGW_Dev3_System,475525
VM Image Storage Service,20812
GWAN Connection Service 5Mbps,574262
